"nome";"id_deputado";"partido";"UF";"votacao_PL_1"
 Ariosto Holanda;74103;PDT;CE;Sim
 Flavio Nogueira;191923;PDT;PI;Sim
 Zé Augusto Nalin;191945;PMDB ;RJ;Sim
 Paulo Henrique Lustosa;141517;PP ;CE;Sim
 Wilson Beserra;193066;PMDB ;RJ;Sim
 Nelson Padovani;160566;PSC;PR;Sim
 Paulo Martins;193726;PSC;PR;Não
 Laura Carneiro;74856;PMDB ;RJ;Sim
 Angela Albino;192120;PCdoB;SC;Sim
 José Augusto Curvo;73831;PSD;MT;Sim
 Luiza Erundina;74784;PSOL ;SP;Sim
 Roberto Alves;152610;PRB;SP;Sim
 Lázaro Botelho;141480;PP ;TO;Sim
 Erivelton Santana;99654;PEN;BA;Sim
 Bruno Araújo;141394;PSDB ;PE;Sim
 Cacá Leão;93083;PP ;BA;Sim
 Dimas Fabiano;160599;PP ;MG;Sim
 Chico D Angelo;141439;PT ;RJ;Sim
 Hélio Leite;178909;DEM;PA;Sim
 Maria do Rosário;74398;PT ;RS;Sim
 Odorico Monteiro;178868;PROS ;CE;Sim
 Carlos Gomes;178962;PRB;RS;Sim
 Wolney Queiroz;74439;PDT;PE;Sim
 João Rodrigues;160571;PSD;SC;Sim
 Rubens Pereira Júnior;178887;PCdoB;MA;Sim
 Ricardo Tripoli;141472;PSDB ;SP;Sim
 Jozi  Araújo;178851;PTN;AP;Sim
 Dr. Jorge Silva;160643;PHS;ES;Sim
 Rôney Nemer;178870;PP ;DF;Sim
 Dulce Miranda;178994;PMDB ;TO;Sim
 Décio Lima;141413;PT ;SC;Sim
 Adelmo Carneiro Leão;178890;PT ;MG;Sim
 Eduardo Bolsonaro;92346;PSC;SP;Sim
 Luiz Carlos Hauly;73778;PSDB ;PR;Sim
 Luiz Couto;74041;PT ;PB;Sim
 Afonso Florence;160508;PT ;BA;Sim
 Hugo Leal;141450;PSB;RJ;Sim
 Arthur Lira;160541;PP ;AL;Sim
 Aelton Freitas;141372;PR ;MG;Sim
 Irmão Lazaro;178855;PSC;BA;Sim
 Alan Rick;178836;PRB;AC;Sim
