id_dep;nome;partido;UF;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9
73579;"AlbertoFraga";dem;DF;sim;sim;sim;sim;não;não;não;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim
160545;"AlexandreLeite";dem;SP;sim;sim;sim;abstenção;não;não;sim;sim;sim;sim;sim;não votou;não;sim;sim;sim;sim;sim;sim
74651;"CarlosMelles";dem;MG;sim;sim;não;sim;não votou;sim;não;sim;sim;não;sim;não votou;sim;sim;sim;sim;sim;sim;sim
74537;"ClaudioCajado";dem;BA;sim;sim;sim;não votou;sim;sim;não votou;sim;não votou;não votou;não votou;não votou;sim;não votou;sim;sim;sim;sim;não votou
141422;"EfraimFilho";dem;PB;sim;sim;não;sim;não;não;não;sim;sim;sim;sim;sim;não votou;não votou;sim;sim;sim;sim;sim
160532;"EliCorrêaFilho";dem;SP;não votou;sim;sim;sim;não;não;não;sim;sim;não votou;não votou;não votou;sim;sim;sim;sim;sim;não votou;sim
178854;"ElmarNascimento";dem;BA;sim;sim;sim;não;não votou;sim;não;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim
141429;"FelipeMaia";dem;RN;sim;sim;sim;abstenção;não;não;não;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim
178909;"HélioLeite";dem;PA;não;sim;não;não;não;não;não;sim;não votou;não;sim;sim;sim;sim;sim;sim;sim;sim;sim
73535;"JorgeTadeuMudalen";dem;SP;sim;sim;sim;abstenção;não;não;não;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;não;sim
74553;"JoséCarlosAleluia";dem;BA;não;sim;não;não votou;sim;sim;não;sim;sim;não;sim;sim;sim;não;sim;sim;sim;sim;sim
160633;Mandetta;dem;MS;não;sim;sim;sim;não;não;não;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim
160660;"MarceloAguiar";dem;SP;sim;sim;sim;abstenção;sim;sim;sim;sim;sim;não;sim;sim;não;sim;sim;sim;sim;sim;não votou
74428;"MendonçaFilho";dem;PE;sim;sim;não;não votou;não;não;não;sim;sim;não;sim;sim;não votou;sim;sim;sim;sim;sim;não votou
178895;"MisaelVarella";dem;MG;sim;sim;sim;não;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim
74457;"MoroniTorgan";dem;CE;sim;sim;sim;sim;não;não;não;sim;sim;não;sim;não;não votou;sim;sim;sim;sim;não;não
74399;"OnyxLorenzoni";dem;RS;não votou;sim;não votou;não;não votou;não;não;sim;sim;não;não votou;não votou;não votou;não votou;sim;sim;7 não votou;não votou;sim
180545;"OsmarBertoldi";dem;PR;não votou;sim;não votou;não votou;não;não;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;sim
74095;"PauderneyAvelino";dem;AM;sim;sim;sim;abstenção;não;não;não;sim;sim;não;não votou;não votou;não votou;não votou;sim;sim;7 sim;sim;sim
178860;"PauloAzi";dem;BA;sim;sim;sim;abstenção;não votou;sim;sim;sim;sim;não;sim;sim;não;sim;sim;sim;sim;sim;sim
160639;"ProfessoraDorinhaSeabraRezende";dem;TO;não;sim;sim;sim;não;não;sim;sim;im;sim;sim;não votou;sim;sim;não;não;sim;não;não
74693;"RodrigoMaia";dem;RJ;sim;sim;sim;abstenção;sim;sim;não;sim;sim;não;sim;sim;não votou;sim;sim;sim;sim;sim;sim
74057;"AlicePortugal";pcdob;BA;sim;não;sim;sim;não votou;sim;não;não;sim;não;não;não;sim;não votou;não;não votou;não;não;não
178927;"AlielMachado";pcdob;PR;sim;não;sim;sim;sim;não;não;não votou;sim;não;não votou;sim;sim;não;não;não;não;não;não
74474;"CarlosEduardoCadoca";pcdob;PE;sim;não;sim;sim;sim;sim;não;sim;não votou;não;não;não;sim;não;não;não;não;não;sim
141440;"ChicoLopes";pcdob;CE;sim;não;sim;sim;sim;sim;não;não;sim;não;não;não;sim;não;não;não;não;não;não
74060;"DanielAlmeida";pcdob;BA;sim;não;sim;sim;sim;sim;não;não;sim;não;não;não;sim;não;não;não;não;não;não
101309;"DavidsonMagalhães";pcdob;BA;sim;não;sim;sim;sim;sim;não;não;sim;não;não;não;sim;não;não;não;não;não;não
74848;"JandiraFeghali";pcdob;RJ;sim;não;sim;sim;sim;sim;não;não;sim;não;não;não;sim;não;não;não;não;não;não
178965;"JoãoDerly";pcdob;RS;sim;não;sim;sim;sim;não;não;não;sim;não votou;não votou;não;sim;não votou;não;não;não;não;não
