deputado,partido,estado,voto
Ronaldo Lessa,PDT,AL,NAO
Paulão,PT,AL,NAO
Givaldo Carimbão,PHS,AL,NAO
João Daniel,PT,SE,NAO
Fábio Mitidieri,PSD,SE,NAO
Zeca Cavalcanti,PTB,PE,NAO
Wolney Queiroz,PDT,PE,NAO
Silvio Costa,PTdoB,PE,NAO
Ricardo Teobaldo,PTN,PE,NAO
Luciana Santos,PCdoB,PE,NAO
Adalberto Cavalcanti,PTB,PE,NAO
Wellington Roberto,PR,PB,NAO
Luiz Couto,PT,PB,NAO
Damião Feliciano,PDT,PB,NAO
Waldenor Pereira,PT,BA,NAO
Valmir Assunção,PT,BA,NAO
Sérgio Brito,PSD,BA,NAO
Ronaldo Carletto,PP,BA,NAO
Roberto Britto,PP,BA,NAO
Paulo Magalhães,PSD,BA,NAO
Moema Gramacho,PT,BA,NAO
José Rocha,PR,BA,NAO
José Nunes,PSD,BA,NAO
José Carlos Araújo,PR,BA,NAO
Jorge Solla,PT,BA,NAO
João Carlos Bacelar,PR,BA,NAO
Fernando Torres,PSD,BA,NAO
Félix Mendonça Júnior,PDT,BA,NAO
Davidson Magalhães,PCdoB,BA,NAO
Daniel Almeida,PCdoB,BA,NAO
Caetano,PT,BA,NAO
Bebeto,PSB,BA,NAO
Bacelar,PTN,BA,NAO
Antonio Brito,PSD,BA,NAO
Alice Portugal,PCdoB,BA,NAO
Afonso Florence,PT,BA,NAO
Reginaldo Lopes,PT,MG,NAO
Patrus Ananias,PT,MG,NAO
Padre João,PT,MG,NAO
Miguel Corrêa,PT,MG,NAO
Margarida Salomão,PT,MG,NAO
Leonardo Monteiro,PT,MG,NAO
Jô Moraes,PCdoB,MG,NAO
George Hilton,PROS,MG,NAO
Gabriel Guimarães,PT,MG,NAO
Brunny,PR,MG,NAO
Aelton Freitas,PR,MG,NAO
Adelmo Carneiro Leão,PT,MG,NAO
Zenaide Maia,PR,RN,NAO
Rejane Dias,PT,PI,NAO
Paes Landim,PTB,PI,NAO
Marcelo Castro,PMDB,PI,NAO
Capitão Fábio Abreu,PTB,PI,NAO
Assis Carvalho,PT,PI,NAO
Helder Salomão,PT,ES,NAO
Givaldo Vieira,PT,ES,NAO
Wadih Damous,PT,RJ,NAO
Luiz Sérgio,PT,RJ,NAO
Leonardo Picciani,PMDB,RJ,NAO
Jean Wyllys,PSOL,RJ,NAO
Jandira Feghali,PCdoB,RJ,NAO
Glauber Braga,PSOL,RJ,NAO
Chico D'angelo,PT,RJ,NAO
Chico Alencar,PSOL,RJ,NAO
Celso Pansera,PMDB,RJ,NAO
Benedita da Silva,PT,RJ,NAO
Alessandro Molon,REDE,RJ,NAO
Vicente Arruda,PDT,CE,NAO
Odorico Monteiro,PROS,CE,NAO
Macedo,PP,CE,NAO
Luizianne Lins,PT,CE,NAO
Leônidas Cristino,PDT,CE,NAO
José Guimarães,PT,CE,NAO
José Airton Cirilo,PT,CE,NAO
Domingos Neto,PSD,CE,NAO
Chico Lopes,PCdoB,CE,NAO
Arnon Bezerra,PTB,CE,NAO
Ariosto Holanda,PDT,CE,NAO
Zé Carlos,PT,MA,NAO
Weverton Rocha,PDT,MA,NAO
Waldir Maranhão,PP,MA,NAO
Rubens Pereira Júnior,PCdoB,MA,NAO
Pedro Fernandes,PTB,MA,NAO
Junior Marreca,PEN,MA,NAO
João Marcelo Souza,PMDB,MA,NAO
Aluisio Mendes,PTN,MA,NAO
Vicentinho,PT,SP,NAO
Vicente Candido,PT,SP,NAO
Valmir Prascidelli,PT,SP,NAO
Paulo Teixeira,PT,SP,NAO
Orlando Silva,PCdoB,SP,NAO
Nilto Tatto,PT,SP,NAO
Luiza Erundina,PSOL,SP,NAO
José Mentor,PT,SP,NAO
Ivan Valente,PSOL,SP,NAO
Carlos Zarattini,PT,SP,NAO
Arlindo Chinaglia,PT,SP,NAO
Andres Sanchez,PT,SP,NAO
Ana Perugini,PT,SP,NAO
Valtenir Pereira,PMDB,MT,NAO
Ságuas Moraes,PT,MT,NAO
Vicentinho Júnior,PR,TO,NAO
Irajá Abreu,PSD,TO,NAO
Sibá Machado,PT,AC,NAO
Leo de Brito,PT,AC,NAO
César Messias,PSB,AC,NAO
Angelim,PT,AC,NAO
Erika Kokay,PT,DF,NAO
Rubens Otoni,PT,GO,NAO
Zeca do PT,PT,MS,NAO
Vander Loubet,PT,MS,NAO
Dagoberto,PDT,MS,NAO
Zeca Dirceu,PT,PR,NAO
Enio Verri,PT,PR,NAO
Assis do Couto,PDT,PR,NAO
Aliel Machado,REDE,PR,NAO
Zé Geraldo,PT,PA,NAO
Simone Morgado,PMDB,PA,NAO
Lúcio Vale,PR,PA,NAO
Elcione Barbalho,PMDB,PA,NAO
Edmilson Rodrigues,PSOL,PA,NAO
Beto Faro,PT,PA,NAO
Roberto Góes,PDT,AP,NAO
Professora Marcivania,PCdoB,AP,NAO
Jozi Araújo,PTN,AP,NAO
Janete Capiberibe,PSB,AP,NAO
Pedro Uczai,PT,SC,NAO
Décio Lima,PT,SC,NAO
Pepe Vargas,PT,RS,NAO
Paulo Pimenta,PT,RS,NAO
Maria do Rosário,PT,RS,NAO
Marcon,PT,RS,NAO
Marco Maia,PT,RS,NAO
Henrique Fontana,PT,RS,NAO
Bohn Gass,PT,RS,NAO
Afonso Motta,PDT,RS,NAO
Edio Lopes,PR,RR,NAO
