"nome";"id_dept";"partido";"UF";"votacao_PL_10903"
Roberto Alves;152610;PRB;SP;Sim
Lázaro Botelho;141480;PP ;TO;Sim
Dimas Fabiano;160599;PP ;MG;Sim
Hélio Leite;178909;DEM;PA;Não
Maria do Rosário;74398;PT ;RS;Sim
Carlos Gomes;178962;PRB;RS;Sim
Rubens Pereira Júnior;178887;PCdoB;MA;Sim
Ricardo Tripoli;141472;PSDB ;SP;Sim
Dr. Jorge Silva;160643;PROS ;ES;Sim
Roney Nemer;178870;PMDB ;DF;Sim
Dulce Miranda;178994;PMDB ;TO;Sim
Adelmo Carneiro Leão;178890;PT ;MG;Sim
Eduardo Bolsonaro;92346;PSC;SP;Sim
Luiz Couto;74041;PT ;PB;Sim
Afonso Florence;160508;PT ;BA;Sim
Hugo Leal;141450;PROS ;RJ;Sim
Aelton Freitas;141372;PR ;MG;Sim
Jarbas Vasconcelos;131943;PMDB ;PE;Sim
Irmão Lazaro;178855;PSC;BA;Sim
Alan Rick;178836;PRB;AC;Sim
Odelmo Leão;74752;PP ;MG;Sim
Alessandro Molon;160511;PT ;RJ;Sim
João Marcelo Souza;112437;PMDB ;MA;Sim
Vanderlei Macris;141553;PSDB ;SP;Sim
Francisco Chapadinha;178907;PSD;PA;Sim
Fausto Pinato;66828;PRB;SP;Sim
Sérgio Moraes;141542;PTB;RS;Sim
Jhonatan de Jesus;160531;PRB;RR;Sim
Hugo Motta;160674;PMDB ;PB;Sim
Daniel Almeida;74060;PCdoB;BA;Sim
Esperidião Amin;160649;PP ;SC;Sim
Enio Verri;132504;PT ;PR;Sim
Delegado Waldir;164359;PSDB ;GO;Sim
Nelson Marquezelli;73553;PTB;SP;Sim
José Reinaldo;73714;PSB;MA;Sim
Assis Carvalho;159237;PT ;PI;Sim
Miguel Haddad;178984;PSDB ;SP;Sim
Delegado Edson Moreira;178893;PTN;MG;Sim
Jandira Feghali;74848;PCdoB;RJ;Sim
Alexandre Baldy;178875;PSDB ;GO;Sim
Pauderney Avelino;74095;DEM;AM;Sim
Paulão;171617;PT ;AL;Sim
Raquel Muniz;178998;PSC;MG;Sim
Jose Stédile;160607;PSB;RS;Sim
Tiririca;160976;PR ;SP;Sim
Alexandre Leite;160545;DEM;SP;Não
Fernando Francischini;160646;Solidaried;PR;Sim
Genecias Noronha;160669;Solidaried;CE;Sim
Darcísio Perondi;73891;PMDB ;RS;Sim
Caetano;178853;PT ;BA;Sim
Arnaldo Faria de Sá;73434;PTB;SP;Sim
Flavinho;178978;PSB;SP;Sim
Vicentinho;74283;PT ;SP;Sim
Delegado Éder Mauro;178908;PSD;PA;Sim
Joaquim Passarinho;178910;PSD;PA;Sim
Professora Marcivania;160641;PT ;AP;Sim
Leo de Brito;178825;PT ;AC;Sim
Victor Mendes;178888;PV ;MA;Sim
Manoel Junior;141490;PMDB ;PB;Sim
Geraldo Resende;74374;PMDB ;MS;Sim
Herculano Passos;178981;PSD;SP;Sim
Evandro Roman;178930;PSD;PR;Sim
Zé Geraldo;73931;PT ;PA;Sim
Efraim Filho;141422;DEM;PB;Não
Luiz Carlos Ramos;178802;PSDC ;RJ;Sim
Covatti Filho;178963;PP ;RS;Sim
César Halum;160576;PRB;TO;Sim
Henrique Fontana;73482;PT ;RS;Sim
Eduardo Cunha;74173;PMDB ;RJ;Art. 17
Vander Loubet;74376;PT ;MS;Sim
Bacelar;69871;PTN;BA;Sim
Marcos Montes;141500;PSD;MG;Sim
Roberto Sales;178944;PRB;RJ;Sim
Angelim;178837;PT ;AC;Sim
Mauro Mariani;141507;PMDB ;SC;Sim
Nelson Meurer;73781;PP ;PR;Sim
Diego Andrade;160588;PSD;MG;Sim
Paulo Feijó;74017;PR ;RJ;Sim
Otavio Leite;141515;PSDB ;RJ;Sim
Miguel Lombardi;178985;PR ;SP;Sim
Mário Negromonte Jr.;178858;PP ;BA;Sim
Ságuas Moraes;160630;PT ;MT;Sim
Carlos Zarattini;141398;PT ;SP;Sim
Marcus Vicente;74235;PP ;ES;Sim
Deley;74172;PTB;RJ;Sim
Aluisio Mendes;178881;PSDC ;MA;Sim
Lúcio Vale;141484;PR ;PA;Sim
Fábio Mitidieri;178969;PSD;SE;Sim
Átila Lins;74090;PSD;AM;Sim
Cabuçu Borges;105112;PMDB ;AP;Sim
