"nome";"cod_dept";"partido";"UF";"votacao_PL_1219"
Rosângela Curado;191684;PDT;MA;Não
Ariosto Holanda;74103;PROS;CE;Não
Flavio Nogueira;191923;PDT;PI;Não
Roberto Alves;152610;PRB;SP;Não
Lázaro Botelho;141480;PP ;TO;Não
Sérgio Brito;73808;PSD;BA;Não
Erivelton Santana;99654;PSC;BA;Não
Osmar Serraglio;73463;PMDB;PR;Não
Cacá Leão;93083;PP ;BA;Não
Dimas Fabiano;160599;PP ;MG;Abstenção
Chico D Angelo;141439;PT ;RJ;Não
Hélio Leite;178909;DEM;PA;Sim
Maria do Rosário;74398;PT ;RS;Não
Odorico Monteiro;178868;PT ;CE;Não
Carlos Gomes;178962;PRB;RS;Não
Wolney Queiroz;74439;PDT;PE;Não
Rubens Pereira Júnior;178887;PCdoB;MA;Não
Ricardo Tripoli;141472;PSDB;SP;Sim
Dr. Jorge Silva;160643;PROS;ES;Não
Roney Nemer;178870;PMDB;DF;Não
Dulce Miranda;178994;PMDB;TO;Não
Décio Lima;141413;PT ;SC;Não
Adelmo Carneiro Leão;178890;PT ;MG;Não
Eduardo Bolsonaro;92346;PSC;SP;Não
Luiz Carlos Hauly;73778;PSDB;PR;Sim
Luiz Couto;74041;PT ;PB;Não
Afonso Florence;160508;PT ;BA;Não
Hugo Leal;141450;PROS;RJ;Não
Aelton Freitas;141372;PR ;MG;Não
Jarbas Vasconcelos;131943;PMDB;PE;Sim
Alan Rick;178836;PRB;AC;Não
Odelmo Leão;74752;PP ;MG;Não
Alessandro Molon;160511;REDE;RJ;Não
Felipe Maia;141429;DEM;RN;Sim
João Marcelo Souza;112437;PMDB;MA;Não
Vanderlei Macris;141553;PSDB;SP;Sim
Aliel Machado;178927;REDE;PR;Não
Francisco Chapadinha;178907;PSD;PA;Não
Fausto Pinato;66828;PRB;SP;Não
Leonardo Picciani;74254;PMDB;RJ;Não
Sérgio Moraes;141542;PTB;RS;Sim
Hugo Motta;160674;PMDB;PB;Não
Daniel Almeida;74060;PCdoB;BA;Não
Esperidião Amin;160649;PP ;SC;Não
Enio Verri;132504;PT ;PR;Não
Delegado Waldir;164359;PSDB;GO;Sim
Helder Salomão;178873;PT ;ES;Não
Nelson Marquezelli;73553;PTB;SP;Não
José Reinaldo;73714;PSB;MA;Sim
Valmir Prascidelli;113247;PT ;SP;Não
Ricardo Barros;73788;PP ;PR;Não
Assis Carvalho;159237;PT ;PI;Não
Miguel Haddad;178984;PSDB;SP;Sim
Laercio Oliveira;151208;Solidaried;SE;Sim
Delegado Edson Moreira;178893;PTN;MG;Não
Adalberto Cavalcanti;178914;PTB;PE;Não
Jandira Feghali;74848;PCdoB;RJ;Não
Paulo Pereira da Silva;141518;Solidaried;SP;Sim
Adelson Barreto;178968;PTB;SE;Não
Alexandre Baldy;178875;PSDB;GO;Sim
Pauderney Avelino;74095;DEM;AM;Sim
Paulão;171617;PT ;AL;Não
Raquel Muniz;178998;PSC;MG;Sim
Jose Stédile;160607;PSB;RS;Não
Tiririca;160976;PR ;SP;Não
Weliton Prado;160518;PT ;MG;Não
Alexandre Leite;160545;DEM;SP;Sim
Goulart;178980;PSD;SP;Não
Fernando Francischini;160646;Solidaried;PR;Sim
Genecias Noronha;160669;Solidaried;CE;Sim
Darcísio Perondi;73891;PMDB;RS;Sim
Caetano;178853;PT ;BA;Não
Ronaldo Fonseca;160637;PROS;DF;Não
Washington Reis;160620;PMDB;RJ;Não
Flavinho;178978;PSB;SP;Não
Reginaldo Lopes;74161;PT ;MG;Não
Vicentinho;74283;PT ;SP;Não
Delegado Éder Mauro;178908;PSD;PA;Não
Leopoldo Meyer;160663;PSB;PR;Não
José Airton Cirilo;141464;PT ;CE;Não
Joaquim Passarinho;178910;PSD;PA;Não
Professora Marcivania;160641;PT ;AP;Não
Zé Silva;160632;Solidaried;MG;Sim
Leo de Brito;178825;PT ;AC;Não
Victor Mendes;178888;PV ;MA;Não
Manoel Junior;141490;PMDB;PB;Não
Edinho Araújo;73447;PMDB;SP;Não
Geraldo Resende;74374;PMDB;MS;Sim
Herculano Passos;178981;PSD;SP;Não
Gilberto Nascimento;74270;PSC;SP;Sim
Zé Geraldo;73931;PT ;PA;Não
Milton Monti;74787;PR ;SP;Não
Luiz Sérgio;74688;PT ;RJ;Não
Luiz Carlos Ramos;178802;PSDC;RJ;Não
Covatti Filho;178963;PP ;RS;Não
César Halum;160576;PRB;TO;Não
Izalci;4931;PSDB;DF;Sim
Henrique Fontana;73482;PT ;RS;Não
Josi Nunes;114941;PMDB;TO;Não
Eduardo Cury;178977;PSDB;SP;Sim
