nome;cod_dept;partido;UF;votacao_PL_124
Rosângela Curado;191684;PDT;MA;Sim
Lázaro Botelho;141480;PP ;TO;Sim
Osmar Serraglio;73463;PMDB;PR;Sim
Bruno Araújo;141394;PSDB;PE;Sim
Cacá Leão;93083;PP ;BA;Sim
Dimas Fabiano;160599;PP ;MG;Sim
Chico D Angelo;141439;PT ;RJ;Sim
Hélio Leite;178909;DEM;PA;Sim
Maria do Rosário;74398;PT ;RS;Sim
Odorico Monteiro;178868;PT ;CE;Sim
João Rodrigues;160571;PSD;SC;Sim
Rubens Pereira Júnior;178887;PCdoB;MA;Sim
Dr. Jorge Silva;160643;PROS;ES;Sim
Roney Nemer;178870;PMDB;DF;Sim
Dulce Miranda;178994;PMDB;TO;Sim
Adelmo Carneiro Leão;178890;PT ;MG;Sim
Eduardo Bolsonaro;92346;PSC;SP;Sim
Luiz Carlos Hauly;73778;PSDB;PR;Sim
Luiz Couto;74041;PT ;PB;Sim
Afonso Florence;160508;PT ;BA;Sim
Aelton Freitas;141372;PR ;MG;Sim
Jarbas Vasconcelos;131943;PMDB;PE;Sim
Elcione Barbalho;74075;PMDB;PA;Sim
Odelmo Leão;74752;PP ;MG;Sim
Alessandro Molon;160511;PT ;RJ;Não
Felipe Maia;141429;DEM;RN;Sim
Roberto Góes;178995;PDT;AP;Sim
Aliel Machado;178927;PCdoB;PR;Sim
Fausto Pinato;66828;PRB;SP;Sim
Paulo Maluf;132056;PP ;SP;Sim
Vicente Candido;160622;PT ;SP;Sim
Esperidião Amin;160649;PP ;SC;Sim
Cristiane Brasil;93472;PTB;RJ;Sim
Enio Verri;132504;PT ;PR;Sim
Helder Salomão;178873;PT ;ES;Sim
Nelson Marquezelli;73553;PTB;SP;Sim
José Reinaldo;73714;PSB;MA;Sim
Valmir Prascidelli;113247;PT ;SP;Sim
Ricardo Barros;73788;PP ;PR;Sim
Assis Carvalho;159237;PT ;PI;Sim
Jovair Arantes;73666;PTB;GO;Sim
Laercio Oliveira;151208;Solidaried;SE;Sim
Delegado Edson Moreira;178893;PTN;MG;Sim
Adalberto Cavalcanti;178914;PTB;PE;Sim
Soraya Santos;178946;PMDB;RJ;Sim
