id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
178957;AbelMesquitaJr;NA;pdt;RR;não;não;não votou;sim;não;sim;sim;sim;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;NA
133374;AdemirCamilo;NA;pros;MG;sim;sim;sim;sim;sim;sim;não;não;não;sim;sim;sim;não;não votou;não;sim;não;sim;sim;NA
133439;AndreFigueiredo;NA;pdt;CE;não votou;não votou;sim;sim;não;não;não;não;sim;não;não votou;sim;sim;não;não;não votou;não votou;sim;não votou;NA
74213;AntonioBalhmann;NA;pros;CE;não votou;não votou;não votou;não votou;sim;sim;7 não;sim;sim;não;não votou;sim;não;sim;sim;não votou;não votou;sim;não votou;NA
73584;AntonioCarlosMendesThame;NA;psdb;SP;sim;sim;sim;sim;não votou;não votou;sim;sim;não votou;não;não votou;sim;sim;não votou;não;não;não;sim;não;NA
105112;CabucuBorges;NA;pmdb;AP;sim;não votou;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;não votou;sim;NA
74474;CarlosEduardoCadoca;NA;pcdob;PE;não;não;sim;não;não;não;não;não;sim;sim;não;sim;sim;sim;sim;não;sim;não votou;não;NA
73568;CelsoJacob;NA;pmdb;RJ;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;não votou;sim;não votou;NA
141439;ChicoDAngelo;NA;pt;RJ;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NA
178848;ConceicaoSampaio;NA;pp;AM;não;sim;não;abstção;não;não;sim;não;sim;sim;sim;sim;sim;não;não;sim;sim;sim;sim;NA
185500;DeoclidesMacedo;NA;pdt;MA;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;sim;não votou;não votou;não votou;não votou;não votou;não votu;não votou;não votou;não votou;não votou;NA
178940;DrJoao;NA;pr;RJ;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;abstenção;sim;sim;sim;não;sim;não;NA
160643;DrJorgeSilva;NA;pros;ES;não;sim;sim;sim;não;sim;não;não;sim;não;sim;sim;não;sim;sim;sim;não;sim;sim;NA
178830;DrSinvalMalheiros;NA;pv;SP;sim;sim;não votou;sim;não;sim;sim;não;não votou;não;não;sim;sim;não;não;não votou;não votou;sim;não votou;NA
73793;EdinhoBez;NA;pmdb;SC;sim;não;sim;sim;sim;sim;sim;abstção;sim;sim;sim;sim;não;abstenção;sim;sim;sim;sim;não votou;NA
160578;EdmarArruda;NA;psc;PR;não votou;sim;não;sim;sim;sim;sim;não;não votou;sim;não votou;sim;não votou;não;sim;sim;sim;não votou;sim;NA
178904;EzequielFonseca;NA;pp;MT;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;NA
146829;FabianoHorta;NA;pt;RJ;não votou;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não;não votou;não;não votou;não votou;sim;sim;não votou;não votou;não votou;não votou;NA
190149;FabricioOliveira;NA;psb;SC;não;sim;sim;sim;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NA
