nome;id_dep
AbelMesquitaJr.;178957
AdailCarneiro;178864
AdalbertoCavalcanti;178914
AdelmoCarneiroLeão;178890
AdelsonBarreto;178968
AdemirCamilo;133374
AdiltonSachetti;178903
AeltonFreitas;141372
AfonsoFlorence;160508
AfonsoHamm;136811
AfonsoMotta;178835
AguinaldoRibeiro;160527
AlanRick;178836
AlbertoFilho;160582
AlbertoFraga;73579
AlceuMoreira;160559
AlessandroMolon;160511
AlessandroMolon;160511
AlexandreBaldy;178875
AlexandreLeite;160545
AlexandreSerfiotis;178833
AlexandreValle;178936
AlexCanziani;73458
AlexManente;178972
AlfredoKaefer;141454
AlfredoNascimento;178846
AlicePortugal;74057
AlielMachado;178927
AlielMachado;178927
AltineuCôrtes;178937
AluisioMendes;178881
AnaPerugini;178973
AndersonFerreira;160551
AndréAbdon;178831
AndréFigueiredo;133439
AndréFufuca;178882
AndreMoura;160543
AndresSanchez;178974
Angelim;178837
AníbalGomes;74212
AntonioBalhmann;74213
AntonioBrito;160553
AntonioBulhões;141383
AntonioCarlosMendesThame;73584
AntonioImbassahy;160530
AntônioJácome;178950
AriostoHolanda;74103
ArlindoChinaglia;73433
ArnaldoFariadeSá;73434
ArnaldoJordy;160602
ArnonBezerra;74291
ArthurLira;160541
ArthurOliveiraMaia;160600
ArthurVirgílioBisneto;178847
AssisCarvalho;159237
AssisdoCouto;74378
ÁtilaLins;74090
ÁtilaLira;74459
AugustoCarvalho;73655
AugustoCoutinho;160665
Aureo;160512
Bacelar;69871
BaleiaRossi;178975
Bebeto;178834
BeneditadaSilva;73701
BenitoGama;74535
BenjaminMaranhão;74040
BetinhoGomes;178915
BetoFaro;141335
BetoMansur;73437
BetoRosado;178948
BetoSalame;178906
BilacPinto;141513
BohnGass;160538
BonifáciodeAndrada;74650
BrunaFurlan;160589
Brunny;178999
BrunoAraújo;141394
BrunoCovas;178976
CaboDaciolo;178938
CaboSabino;178865
CabuçuBorges;105112
CacáLeão;93083
Caetano;178853
CaioNarcio;178891
CapitãoAugusto;178829
CarlosAndrade;178958
CarlosBezerra;141401
CarlosEduardoCadoca;74474
CarlosGomes;178962
CarlosHenriqueGaguim;178993
CarlosManato;74163
CarlosMarun;178900
CarlosMelles;74651
CarlosSampaio;74262
CarlosZarattini;141398
CarmenZanotto;164360
CélioSilveira;178876
CelsoJacob;73568
CelsoMaldaner;141405
CelsoPansera;72912
CelsoRussomanno;73441
CésarHalum;160576
CésarMessias;178838
CesarSouza;73720
ChicoAlencar;74171
ChicoDAngelo;141439
ChicoLopes;141440
ChristianedeSouzaYared;178928
CíceroAlmeida;178841
CíceroAlmeida;178841
ClarissaGarotinho;178939
ClaudioCajado;74537
CleberVerde;141408
ConceiçãoSampaio;178848
CovattiFilho;178963
CristianeBrasil;93472
Dagoberto;141411
DamiãoFeliciano;74467
DâminaPereira;178892
DanielAlmeida;74060
DanielCoelho;178916
DanielVilela;144523
DaniloForte;62881
DanrleideDeusHinterholz;160552
DarcísioPerondi;73891
DavidsonMagalhães;101309
DécioLima;141413
DelegadoÉderMauro;178908
DelegadoEdsonMoreira;178893
DelegadoWaldir;164359
Deley;74172
DeoclidesMacedo;185500
DiegoAndrade;160588
DiegoGarcia;178929
DilceuSperafico;73768
DimasFabiano;160599
DomingosNeto;143632
DomingosSávio;160758
Dr.João;178940
Dr.JorgeSilva;160643
Dr.SinvalMalheiros;178830
DulceMiranda;178994
EdinhoAraújo;73447
EdinhoBez;73793
EdioLopes;141417
EdmarArruda;160578
EdmilsonRodrigues;134812
EduardoBarbosa;74655
EduardoBolsonaro;92346
EduardoCunha;74173
EduardoCury;178977
EduardodaFonte;141421
EfraimFilho;141422
ElcioneBarbalho;74075
EliCorrêaFilho;160532
ElizeuDionizio;181316
ElizeuDionizio;181316
ElizianeGama;178883
ElizianeGama;178883
ElmarNascimento;178854
EnioVerri;132504
ErikaKokay;160575
EriveltonSantana;99654
ErosBiondini;160640
EsperidiãoAmin;160649
EvairdeMelo;178871
EvandroGussi;178828
EvandroRoman;178930
ExpeditoNetto;178953
EzequielFonseca;178904
EzequielTeixeira;178941
FabianoHorta;146829
FábioFaria;141428
FabioGarcia;178905
FábioMitidieri;178969
FábioRamalho;141427
FabioReis;171623
FábioSousa;178877
FabricioOliveira;190149
FaustoPinato;66828
FelipeBornier;141430
FelipeMaia;141429
FélixMendonçaJúnior;160666
FernandoCoelhoFilho;141431
FernandoFrancischini;160646
FernandoJordão;163831
FernandoMarroni;73481
FernandoMonteiro;92699
FernandoTorres;160676
FláviaMorais;160598
FlavianoMelo;141434
Flavinho;178978
FlavioNogueira;191923
FranciscoChapadinha;178907
FranciscoFloriano;160677
GabrielGuimarães;129037
GeneciasNoronha;160669
GeovaniadeSá;178966
GeraldoResende;74374
Giacobo;74383
GilbertoNascimento;74270
GiovaniCherini;160673
GiuseppeVecci;178878
GivaldoCarimbão;74558
GivaldoVieira;178872
GlauberBraga;152605
