deputado;IMPEACHMENT;nome
Abel Mesquita Jr.;SIM;AbelMesquitaJr.
Adail Carneiro;SIM;AdailCarneiro
Adalberto Cavalcanti;NAO;AdalbertoCavalcanti
Adelmo Carneiro Leão;NAO;AdelmoCarneiroLeão
Adelson Barreto;SIM;AdelsonBarreto
Adilton Sachetti;SIM;AdiltonSachetti
Aelton Freitas;NAO;AeltonFreitas
Afonso Florence;NAO;AfonsoFlorence
Afonso Hamm;SIM;AfonsoHamm
Afonso Motta;NAO;AfonsoMotta
Aguinaldo Ribeiro;SIM;AguinaldoRibeiro
Alan Rick;SIM;AlanRick
Alberto Filho;SIM;AlbertoFilho
Alberto Fraga;SIM;AlbertoFraga
Alceu Moreira;SIM;AlceuMoreira
Alessandro Molon;NAO;AlessandroMolon
Alexandre Baldy;SIM;AlexandreBaldy
Alexandre Leite;SIM;AlexandreLeite
Alexandre Serfiotis;SIM;AlexandreSerfiotis
Alexandre Valle;SIM;AlexandreValle
Alex Canziani;SIM;AlexCanziani
Alex Manente;SIM;AlexManente
Alfredo Kaefer;SIM;AlfredoKaefer
Alfredo Nascimento;SIM;AlfredoNascimento
Alice Portugal;NAO;AlicePortugal
Aliel Machado;NAO;AlielMachado
Altineu Côrtes;SIM;AltineuCôrtes
Aluisio Mendes;NAO;AluisioMendes
Ana Perugini;NAO;AnaPerugini
Anderson Ferreira;SIM;AndersonFerreira
André Abdon;SIM;AndréAbdon
André de Paula;SIM;AndrédePaula
André Fufuca;SIM;AndréFufuca
Andre Moura;SIM;AndreMoura
Andres Sanchez;NAO;AndresSanchez
Angelim;NAO;Angelim
Aníbal Gomes;AUSEN;AníbalGomes
Antonio Brito;NAO;AntonioBrito
Antonio Bulhões;SIM;AntonioBulhões
Antonio Imbassahy;SIM;AntonioImbassahy
Antônio Jácome;SIM;AntônioJácome
Ariosto Holanda;NAO;AriostoHolanda
Arlindo Chinaglia;NAO;ArlindoChinaglia
Arnaldo Faria de Sá;SIM;ArnaldoFariadeSá
Arnaldo Jardim;SIM;ArnaldoJardim
Arnaldo Jordy;SIM;ArnaldoJordy
Arnon Bezerra;NAO;ArnonBezerra
Arolde de Oliveira;SIM;AroldedeOliveira
Arthur Lira;SIM;ArthurLira
Arthur Oliveira Maia;SIM;ArthurOliveiraMaia
Arthur Virgílio Bisneto;SIM;ArthurVirgílioBisneto
Assis Carvalho;NAO;AssisCarvalho
Assis do Couto;NAO;AssisdoCouto
Átila Lins;SIM;ÁtilaLins
Átila Lira;SIM;ÁtilaLira
Augusto Carvalho;SIM;AugustoCarvalho
Augusto Coutinho;SIM;AugustoCoutinho
Aureo;SIM;Aureo
