id_dep;deputado;IMPEACHMENT;nome
178957;Abel Mesquita Jr.;SIM;AbelMesquitaJr.
178864;Adail Carneiro;SIM;AdailCarneiro
178914;Adalberto Cavalcanti;NAO;AdalbertoCavalcanti
178968;Adelson Barreto;SIM;AdelsonBarreto
178903;Adilton Sachetti;SIM;AdiltonSachetti
141372;Aelton Freitas;NAO;AeltonFreitas
160508;Afonso Florence;NAO;AfonsoFlorence
136811;Afonso Hamm;SIM;AfonsoHamm
178835;Afonso Motta;NAO;AfonsoMotta
160527;Aguinaldo Ribeiro;SIM;AguinaldoRibeiro
178836;Alan Rick;SIM;AlanRick
160582;Alberto Filho;SIM;AlbertoFilho
73579;Alberto Fraga;SIM;AlbertoFraga
160559;Alceu Moreira;SIM;AlceuMoreira
160511;Alessandro Molon;NAO;AlessandroMolon
160511;Alessandro Molon;NAO;AlessandroMolon
178875;Alexandre Baldy;SIM;AlexandreBaldy
160545;Alexandre Leite;SIM;AlexandreLeite
178833;Alexandre Serfiotis;SIM;AlexandreSerfiotis
178936;Alexandre Valle;SIM;AlexandreValle
73458;Alex Canziani;SIM;AlexCanziani
178972;Alex Manente;SIM;AlexManente
141454;Alfredo Kaefer;SIM;AlfredoKaefer
178846;Alfredo Nascimento;SIM;AlfredoNascimento
74057;Alice Portugal;NAO;AlicePortugal
178927;Aliel Machado;NAO;AlielMachado
178927;Aliel Machado;NAO;AlielMachado
178881;Aluisio Mendes;NAO;AluisioMendes
178973;Ana Perugini;NAO;AnaPerugini
160551;Anderson Ferreira;SIM;AndersonFerreira
160543;Andre Moura;SIM;AndreMoura
178974;Andres Sanchez;NAO;AndresSanchez
178837;Angelim;NAO;Angelim
160553;Antonio Brito;NAO;AntonioBrito
160530;Antonio Imbassahy;SIM;AntonioImbassahy
74103;Ariosto Holanda;NAO;AriostoHolanda
73433;Arlindo Chinaglia;NAO;ArlindoChinaglia
160602;Arnaldo Jordy;SIM;ArnaldoJordy
74291;Arnon Bezerra;NAO;ArnonBezerra
160541;Arthur Lira;SIM;ArthurLira
160600;Arthur Oliveira Maia;SIM;ArthurOliveiraMaia
159237;Assis Carvalho;NAO;AssisCarvalho
74378;Assis do Couto;NAO;AssisdoCouto
73655;Augusto Carvalho;SIM;AugustoCarvalho
160665;Augusto Coutinho;SIM;AugustoCoutinho
160512;Aureo;SIM;Aureo
69871;Bacelar;NAO;Bacelar
178975;Baleia Rossi;SIM;BaleiaRossi
178834;Bebeto;NAO;Bebeto
73701;Benedita da Silva;NAO;BeneditadaSilva
74535;Benito Gama;SIM;BenitoGama
178915;Betinho Gomes;SIM;BetinhoGomes
141335;Beto Faro;NAO;BetoFaro
73437;Beto Mansur;SIM;BetoMansur
178948;Beto Rosado;SIM;BetoRosado
178906;Beto Salame;ABST;BetoSalame
141513;Bilac Pinto;SIM;BilacPinto
160538;Bohn Gass;NAO;BohnGass
160589;Bruna Furlan;SIM;BrunaFurlan
178999;Brunny;NAO;Brunny
178976;Bruno Covas;SIM;BrunoCovas
178938;Cabo Daciolo;SIM;CaboDaciolo
178865;Cabo Sabino;SIM;CaboSabino
178853;Caetano;NAO;Caetano
178891;Caio Narcio;SIM;CaioNarcio
178958;Carlos Andrade;SIM;CarlosAndrade
141401;Carlos Bezerra;SIM;CarlosBezerra
178962;Carlos Gomes;SIM;CarlosGomes
178993;Carlos Henrique Gaguim;SIM;CarlosHenriqueGaguim
74163;Carlos Manato;SIM;CarlosManato
178900;Carlos Marun;SIM;CarlosMarun
74651;Carlos Melles;SIM;CarlosMelles
74262;Carlos Sampaio;SIM;CarlosSampaio
141398;Carlos Zarattini;NAO;CarlosZarattini
164360;Carmen Zanotto;SIM;CarmenZanotto
141405;Celso Maldaner;SIM;CelsoMaldaner
72912;Celso Pansera;NAO;CelsoPansera
73441;Celso Russomanno;SIM;CelsoRussomanno
73720;Cesar Souza;SIM;CesarSouza
74171;Chico Alencar;NAO;ChicoAlencar
141440;Chico Lopes;NAO;ChicoLopes
178928;Christiane de Souza Yared;SIM;ChristianedeSouzaYared
178939;Clarissa Garotinho;AUSEN;ClarissaGarotinho
74537;Claudio Cajado;SIM;ClaudioCajado
141408;Cleber Verde;SIM;CleberVerde
178963;Covatti Filho;SIM;CovattiFilho
93472;Cristiane Brasil;SIM;CristianeBrasil
141411;Dagoberto;NAO;Dagoberto
74060;Daniel Almeida;NAO;DanielAlmeida
178916;Daniel Coelho;SIM;DanielCoelho
144523;Daniel Vilela;SIM;DanielVilela
62881;Danilo Forte;SIM;DaniloForte
160552;Danrlei de Deus Hinterholz;SIM;DanrleideDeusHinterholz
178893;Delegado Edson Moreira;SIM;DelegadoEdsonMoreira
164359;Delegado Waldir;SIM;DelegadoWaldir
74172;Deley;SIM;Deley
160588;Diego Andrade;SIM;DiegoAndrade
178929;Diego Garcia;SIM;DiegoGarcia
73768;Dilceu Sperafico;SIM;DilceuSperafico
160599;Dimas Fabiano;SIM;DimasFabiano
